block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
113;sgemm;;95.02;62.36;62.36;62.36;62.36;0;1;
83;sgemm;;0.98;0.64;0.64;0.64;0.64;0;1;
114;sgemm;;0.85;0.55;0.55;0.55;0.55;0;1;
85;sgemm;;0.54;0.36;0.36;0.36;0.36;0;1;
87;sgemm;;0.42;0.28;0.27;0.27;0.27;0;1;
89;sgemm;;0.25;0.17;0.17;0.17;0.17;0;1;
91;sgemm;;0.21;0.13;0.13;0.13;0.13;0;1;
25;sgemm;;0.18;0.12;0.11;0.11;0.11;0;1;
97;sgemm;;0.17;0.11;0.11;0.11;0.11;0;1;
95;sgemm;;0.13;0.09;0.09;0.09;0.09;0;1;
93;sgemm;;0.09;0.06;0.06;0.06;0.06;0;1;
112;sgemm;;0.06;0.04;0.04;0.04;0.04;0;1;
80;sgemm;;0.05;0.03;0.03;0.03;0.03;0;1;
81;sgemm;;0.04;0.02;0.02;0.02;0.02;0;1;
132;sgemm;;0.03;0.02;0.02;0.02;0.02;0;1;
78;sgemm;;0.02;0.01;0.02;0.02;0.02;0;1;
75;sgemm;;0.01;0;0.01;0.01;0.01;0;1;
76;sgemm;;0.01;0;0.01;0.01;0.01;0;1;
115;sgemm;;0.01;0;0.01;0.01;0.01;0;1;
98;sgemm;;0.01;0;0.01;0.01;0.01;0;1;
