block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
113;sgemm;;95.02;62.36;;;;;;
83;sgemm;;0.98;0.64;;;;;;
114;sgemm;;0.85;0.55;;;;;;
85;sgemm;;0.54;0.36;;;;;;
87;sgemm;;0.42;0.28;;;;;;
89;sgemm;;0.25;0.17;;;;;;
91;sgemm;;0.21;0.13;;;;;;
25;sgemm;;0.18;0.12;;;;;;
97;sgemm;;0.17;0.11;;;;;;
95;sgemm;;0.13;0.09;;;;;;
93;sgemm;;0.09;0.06;;;;;;
112;sgemm;;0.06;0.04;;;;;;
80;sgemm;;0.05;0.03;;;;;;
81;sgemm;;0.04;0.02;;;;;;
132;sgemm;;0.03;0.02;;;;;;
78;sgemm;;0.02;0.01;;;;;;
75;sgemm;;0.01;0;;;;;;
76;sgemm;;0.01;0;;;;;;
115;sgemm;;0.01;0;;;;;;
98;sgemm;;0.01;0;;;;;;
