block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;64.47;3.72;3.72;3.72;3.72;0;1;
33;sgemm;;14.04;0.81;0.81;0.81;0.81;0;1;
134;sgemm;kernel.c:54-55;0.52;0.03;0.03;0.03;0.03;0;1;
32;sgemm;;0.35;0.02;0.02;0.02;0.02;0;1;
144;sgemm;kernel.c:54-55;0.26;0.01;0.01;0.01;0.01;0;1;
136;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
138;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
140;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
146;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
103;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
107;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
113;sgemm;kernel.c:54-55;0.17;0.01;0.01;0.01;0.01;0;1;
31;sgemm;;0.17;0.01;0.01;0.01;0.01;0;1;
132;sgemm;kernel.c:54-54;0.09;0;0;0;0;0;1;
135;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
137;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
141;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
142;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
143;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
145;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
105;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
111;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
30;sgemm;;0.09;0;0;0;0;0;1;
39;sgemm;;0.09;0;0;0;0;0;1;
