block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;64.47;3.72;;;;;;
33;sgemm;;14.04;0.81;;;;;;
134;sgemm;kernel.c:54-55;0.52;0.03;;;;;;
32;sgemm;;0.35;0.02;;;;;;
144;sgemm;kernel.c:54-55;0.26;0.01;;;;;;
136;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
138;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
140;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
146;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
103;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
107;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
113;sgemm;kernel.c:54-55;0.17;0.01;;;;;;
31;sgemm;;0.17;0.01;;;;;;
132;sgemm;kernel.c:54-54;0.09;0;;;;;;
135;sgemm;kernel.c:54-55;0.09;0;;;;;;
137;sgemm;kernel.c:54-55;0.09;0;;;;;;
141;sgemm;kernel.c:54-55;0.09;0;;;;;;
142;sgemm;kernel.c:54-55;0.09;0;;;;;;
143;sgemm;kernel.c:54-55;0.09;0;;;;;;
145;sgemm;kernel.c:54-55;0.09;0;;;;;;
105;sgemm;kernel.c:54-55;0.09;0;;;;;;
111;sgemm;kernel.c:54-55;0.09;0;;;;;;
30;sgemm;;0.09;0;;;;;;
39;sgemm;;0.09;0;;;;;;
