block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;65.45;3.78;3.78;3.78;3.78;0;1;
33;sgemm;;11.86;0.69;0.68;0.68;0.68;0;1;
134;sgemm;kernel.c:54-55;0.52;0.03;0.03;0.03;0.03;0;1;
32;sgemm;;0.26;0.01;0.01;0.01;0.01;0;1;
143;sgemm;kernel.c:54-55;0.26;0.01;0.01;0.01;0.01;0;1;
115;sgemm;kernel.c:54-55;0.26;0.01;0.01;0.01;0.01;0;1;
31;sgemm;;0.26;0.01;0.01;0.01;0.01;0;1;
132;sgemm;kernel.c:54-54;0.17;0.01;0.01;0.01;0.01;0;1;
137;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
139;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
144;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
145;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
146;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
105;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
109;sgemm;kernel.c:54-55;0.09;0;0;0;0;0;1;
30;sgemm;;0.09;0;0;0;0;0;1;
