block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;65.45;3.78;;;;;;
33;sgemm;;11.86;0.69;;;;;;
134;sgemm;kernel.c:54-55;0.52;0.03;;;;;;
32;sgemm;;0.26;0.01;;;;;;
143;sgemm;kernel.c:54-55;0.26;0.01;;;;;;
115;sgemm;kernel.c:54-55;0.26;0.01;;;;;;
31;sgemm;;0.26;0.01;;;;;;
132;sgemm;kernel.c:54-54;0.17;0.01;;;;;;
137;sgemm;kernel.c:54-55;0.09;0;;;;;;
139;sgemm;kernel.c:54-55;0.09;0;;;;;;
144;sgemm;kernel.c:54-55;0.09;0;;;;;;
145;sgemm;kernel.c:54-55;0.09;0;;;;;;
146;sgemm;kernel.c:54-55;0.09;0;;;;;;
105;sgemm;kernel.c:54-55;0.09;0;;;;;;
109;sgemm;kernel.c:54-55;0.09;0;;;;;;
30;sgemm;;0.09;0;;;;;;
