function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;67.49;3.94;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;14.29;0.83;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;9.84;0.57;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;5.73;0.33;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;1.97;0.11;;;;;;"0,0,0,0,0,0,0,0,0,100";
16;sgemm;.plt.sec@start;;0.17;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;sgemm;Unknown function;;0.17;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.09;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
9;sgemm;main;;0.09;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
7;sgemm;init_array;;0.09;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.09;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
