block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;55.6;7.51;7.52;7.52;7.52;0;1;
134;sgemm;kernel.c:54-55;3.14;0.43;0.42;0.42;0.42;0;1;
107;sgemm;kernel.c:54-55;2.85;0.38;0.38;0.38;0.38;0;1;
113;sgemm;kernel.c:54-55;2.77;0.37;0.38;0.38;0.38;0;1;
105;sgemm;kernel.c:54-55;2.7;0.37;0.37;0.37;0.37;0;1;
111;sgemm;kernel.c:54-55;2.7;0.37;0.36;0.36;0.36;0;1;
109;sgemm;kernel.c:54-55;2.66;0.36;0.36;0.36;0.36;0;1;
103;sgemm;kernel.c:54-55;2.44;0.33;0.33;0.33;0.33;0;1;
115;sgemm;kernel.c:54-55;2.44;0.33;0.33;0.33;0.33;0;1;
139;sgemm;kernel.c:54-55;1.48;0.2;0.2;0.2;0.2;0;1;
119;sgemm;kernel.c:54-55;1.48;0.2;0.2;0.2;0.2;0;1;
140;sgemm;kernel.c:54-55;1.44;0.2;0.2;0.2;0.2;0;1;
135;sgemm;kernel.c:54-55;1.37;0.18;0.18;0.18;0.18;0;1;
123;sgemm;kernel.c:54-55;1.26;0.17;0.17;0.17;0.17;0;1;
146;sgemm;kernel.c:54-55;1.15;0.16;0.15;0.15;0.15;0;1;
121;sgemm;kernel.c:54-55;1.15;0.16;0.15;0.15;0.15;0;1;
137;sgemm;kernel.c:54-55;1.11;0.15;0.15;0.15;0.15;0;1;
142;sgemm;kernel.c:54-55;1.04;0.14;0.14;0.14;0.14;0;1;
143;sgemm;kernel.c:54-55;1.04;0.14;0.14;0.14;0.14;0;1;
136;sgemm;kernel.c:54-55;1;0.13;0.13;0.13;0.13;0;1;
144;sgemm;kernel.c:54-55;1;0.13;0.13;0.13;0.13;0;1;
130;sgemm;kernel.c:54-54;0.96;0.13;0.13;0.13;0.13;0;1;
138;sgemm;kernel.c:54-55;0.92;0.12;0.12;0.12;0.12;0;1;
117;sgemm;kernel.c:54-55;0.92;0.12;0.12;0.12;0.12;0;1;
145;sgemm;kernel.c:54-55;0.89;0.12;0.12;0.12;0.12;0;1;
101;sgemm;kernel.c:54-55;0.89;0.12;0.12;0.12;0.12;0;1;
141;sgemm;kernel.c:54-55;0.85;0.12;0.12;0.12;0.12;0;1;
98;sgemm;kernel.c:54-54;0.63;0.09;0.09;0.09;0.09;0;1;
133;sgemm;kernel.c:53-53;0.55;0.07;0.07;0.07;0.07;0;1;
132;sgemm;kernel.c:54-54;0.52;0.07;0.07;0.07;0.07;0;1;
96;sgemm;kernel.c:54-55;0.3;0.04;0.04;0.04;0.04;0;1;
99;sgemm;kernel.c:54-54;0.11;0.01;0.01;0.01;0.01;0;1;
116;sgemm;kernel.c:54-54;0.11;0.01;0.01;0.01;0.01;0;1;
33;sgemm;;0.11;0.01;0.01;0.01;0.01;0;1;
93;sgemm;kernel.c:50-53;0.07;0.01;0.01;0.01;0.01;0;1;
94;sgemm;kernel.c:58-58;0.07;0.01;0.01;0.01;0.01;0;1;
95;sgemm;kernel.c:53-55;0.07;0.01;0.01;0.01;0.01;0;1;
150;sgemm;kernel.c:53-53;0.07;0.01;0.01;0.01;0.01;0;1;
124;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
