block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;55.6;7.51;;;;;;
134;sgemm;kernel.c:54-55;3.14;0.43;;;;;;
107;sgemm;kernel.c:54-55;2.85;0.38;;;;;;
113;sgemm;kernel.c:54-55;2.77;0.37;;;;;;
105;sgemm;kernel.c:54-55;2.7;0.37;;;;;;
111;sgemm;kernel.c:54-55;2.7;0.37;;;;;;
109;sgemm;kernel.c:54-55;2.66;0.36;;;;;;
103;sgemm;kernel.c:54-55;2.44;0.33;;;;;;
115;sgemm;kernel.c:54-55;2.44;0.33;;;;;;
139;sgemm;kernel.c:54-55;1.48;0.2;;;;;;
119;sgemm;kernel.c:54-55;1.48;0.2;;;;;;
140;sgemm;kernel.c:54-55;1.44;0.2;;;;;;
135;sgemm;kernel.c:54-55;1.37;0.18;;;;;;
123;sgemm;kernel.c:54-55;1.26;0.17;;;;;;
146;sgemm;kernel.c:54-55;1.15;0.16;;;;;;
121;sgemm;kernel.c:54-55;1.15;0.16;;;;;;
137;sgemm;kernel.c:54-55;1.11;0.15;;;;;;
142;sgemm;kernel.c:54-55;1.04;0.14;;;;;;
143;sgemm;kernel.c:54-55;1.04;0.14;;;;;;
136;sgemm;kernel.c:54-55;1;0.13;;;;;;
144;sgemm;kernel.c:54-55;1;0.13;;;;;;
130;sgemm;kernel.c:54-54;0.96;0.13;;;;;;
138;sgemm;kernel.c:54-55;0.92;0.12;;;;;;
117;sgemm;kernel.c:54-55;0.92;0.12;;;;;;
145;sgemm;kernel.c:54-55;0.89;0.12;;;;;;
101;sgemm;kernel.c:54-55;0.89;0.12;;;;;;
141;sgemm;kernel.c:54-55;0.85;0.12;;;;;;
98;sgemm;kernel.c:54-54;0.63;0.09;;;;;;
133;sgemm;kernel.c:53-53;0.55;0.07;;;;;;
132;sgemm;kernel.c:54-54;0.52;0.07;;;;;;
96;sgemm;kernel.c:54-55;0.3;0.04;;;;;;
99;sgemm;kernel.c:54-54;0.11;0.01;;;;;;
116;sgemm;kernel.c:54-54;0.11;0.01;;;;;;
33;sgemm;;0.11;0.01;;;;;;
93;sgemm;kernel.c:50-53;0.07;0.01;;;;;;
94;sgemm;kernel.c:58-58;0.07;0.01;;;;;;
95;sgemm;kernel.c:53-55;0.07;0.01;;;;;;
150;sgemm;kernel.c:53-53;0.07;0.01;;;;;;
124;sgemm;kernel.c:54-54;0.04;0;;;;;;
