block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;46.89;5.66;5.66;5.66;5.66;0;1;
134;sgemm;kernel.c:54-55;4.98;0.6;0.6;0.6;0.6;0;1;
113;sgemm;kernel.c:54-55;3.65;0.44;0.44;0.44;0.44;0;1;
107;sgemm;kernel.c:54-55;3.07;0.37;0.37;0.37;0.37;0;1;
105;sgemm;kernel.c:54-55;2.82;0.34;0.34;0.34;0.34;0;1;
115;sgemm;kernel.c:54-55;2.49;0.3;0.3;0.3;0.3;0;1;
103;sgemm;kernel.c:54-55;2.45;0.3;0.3;0.3;0.3;0;1;
111;sgemm;kernel.c:54-55;2.36;0.29;0.29;0.29;0.29;0;1;
109;sgemm;kernel.c:54-55;2.2;0.26;0.26;0.26;0.26;0;1;
142;sgemm;kernel.c:54-55;1.74;0.21;0.21;0.21;0.21;0;1;
101;sgemm;kernel.c:54-55;1.74;0.21;0.21;0.21;0.21;0;1;
139;sgemm;kernel.c:54-55;1.62;0.19;0.19;0.19;0.19;0;1;
145;sgemm;kernel.c:54-55;1.62;0.19;0.19;0.19;0.19;0;1;
117;sgemm;kernel.c:54-55;1.62;0.19;0.19;0.19;0.19;0;1;
123;sgemm;kernel.c:54-55;1.58;0.19;0.19;0.19;0.19;0;1;
146;sgemm;kernel.c:54-55;1.58;0.19;0.19;0.19;0.19;0;1;
119;sgemm;kernel.c:54-55;1.49;0.18;0.18;0.18;0.18;0;1;
141;sgemm;kernel.c:54-55;1.45;0.17;0.17;0.17;0.17;0;1;
144;sgemm;kernel.c:54-55;1.41;0.17;0.17;0.17;0.17;0;1;
138;sgemm;kernel.c:54-55;1.41;0.17;0.17;0.17;0.17;0;1;
130;sgemm;kernel.c:54-54;1.37;0.16;0.16;0.16;0.16;0;1;
136;sgemm;kernel.c:54-55;1.33;0.16;0.16;0.16;0.16;0;1;
140;sgemm;kernel.c:54-55;1.29;0.16;0.16;0.16;0.16;0;1;
143;sgemm;kernel.c:54-55;1.2;0.14;0.14;0.14;0.14;0;1;
135;sgemm;kernel.c:54-55;1.16;0.14;0.14;0.14;0.14;0;1;
121;sgemm;kernel.c:54-55;1.16;0.14;0.14;0.14;0.14;0;1;
132;sgemm;kernel.c:54-54;0.95;0.11;0.11;0.11;0.11;0;1;
137;sgemm;kernel.c:54-55;0.91;0.11;0.11;0.11;0.11;0;1;
98;sgemm;kernel.c:54-54;0.79;0.09;0.09;0.09;0.09;0;1;
133;sgemm;kernel.c:53-53;0.58;0.07;0.07;0.07;0.07;0;1;
96;sgemm;kernel.c:54-55;0.5;0.06;0.06;0.06;0.06;0;1;
94;sgemm;kernel.c:58-58;0.08;0.01;0.01;0.01;0.01;0;1;
95;sgemm;kernel.c:53-55;0.08;0.01;0.01;0.01;0.01;0;1;
116;sgemm;kernel.c:54-54;0.08;0.01;0.01;0.01;0.01;0;1;
93;sgemm;kernel.c:50-53;0.04;0;0;0;0;0;1;
150;sgemm;kernel.c:53-53;0.04;0;0;0;0;0;1;
99;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
124;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
73;sgemm;;0.04;0;0;0;0;0;1;
30;sgemm;;0.04;0;0;0;0;0;1;
