block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;46.89;5.66;;;;;;
134;sgemm;kernel.c:54-55;4.98;0.6;;;;;;
113;sgemm;kernel.c:54-55;3.65;0.44;;;;;;
107;sgemm;kernel.c:54-55;3.07;0.37;;;;;;
105;sgemm;kernel.c:54-55;2.82;0.34;;;;;;
115;sgemm;kernel.c:54-55;2.49;0.3;;;;;;
103;sgemm;kernel.c:54-55;2.45;0.3;;;;;;
111;sgemm;kernel.c:54-55;2.36;0.29;;;;;;
109;sgemm;kernel.c:54-55;2.2;0.26;;;;;;
142;sgemm;kernel.c:54-55;1.74;0.21;;;;;;
101;sgemm;kernel.c:54-55;1.74;0.21;;;;;;
139;sgemm;kernel.c:54-55;1.62;0.19;;;;;;
145;sgemm;kernel.c:54-55;1.62;0.19;;;;;;
117;sgemm;kernel.c:54-55;1.62;0.19;;;;;;
123;sgemm;kernel.c:54-55;1.58;0.19;;;;;;
146;sgemm;kernel.c:54-55;1.58;0.19;;;;;;
119;sgemm;kernel.c:54-55;1.49;0.18;;;;;;
141;sgemm;kernel.c:54-55;1.45;0.17;;;;;;
144;sgemm;kernel.c:54-55;1.41;0.17;;;;;;
138;sgemm;kernel.c:54-55;1.41;0.17;;;;;;
130;sgemm;kernel.c:54-54;1.37;0.16;;;;;;
136;sgemm;kernel.c:54-55;1.33;0.16;;;;;;
140;sgemm;kernel.c:54-55;1.29;0.16;;;;;;
143;sgemm;kernel.c:54-55;1.2;0.14;;;;;;
135;sgemm;kernel.c:54-55;1.16;0.14;;;;;;
121;sgemm;kernel.c:54-55;1.16;0.14;;;;;;
132;sgemm;kernel.c:54-54;0.95;0.11;;;;;;
137;sgemm;kernel.c:54-55;0.91;0.11;;;;;;
98;sgemm;kernel.c:54-54;0.79;0.09;;;;;;
133;sgemm;kernel.c:53-53;0.58;0.07;;;;;;
96;sgemm;kernel.c:54-55;0.5;0.06;;;;;;
94;sgemm;kernel.c:58-58;0.08;0.01;;;;;;
95;sgemm;kernel.c:53-55;0.08;0.01;;;;;;
116;sgemm;kernel.c:54-54;0.08;0.01;;;;;;
93;sgemm;kernel.c:50-53;0.04;0;;;;;;
150;sgemm;kernel.c:53-53;0.04;0;;;;;;
99;sgemm;kernel.c:54-54;0.04;0;;;;;;
124;sgemm;kernel.c:54-54;0.04;0;;;;;;
73;sgemm;;0.04;0;;;;;;
30;sgemm;;0.04;0;;;;;;
