block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;61.18;5.39;5.39;5.39;5.39;0;1;
138;sgemm;kernel.c:54-55;3.41;0.3;0.3;0.3;0.3;0;1;
134;sgemm;kernel.c:54-55;3.01;0.26;0.26;0.26;0.26;0;1;
139;sgemm;kernel.c:54-55;2.89;0.25;0.25;0.25;0.25;0;1;
135;sgemm;kernel.c:54-55;2.67;0.23;0.23;0.23;0.23;0;1;
136;sgemm;kernel.c:54-55;2.21;0.19;0.2;0.2;0.2;0;1;
137;sgemm;kernel.c:54-55;1.76;0.16;0.16;0.16;0.16;0;1;
143;sgemm;kernel.c:54-55;1.7;0.15;0.15;0.15;0.15;0;1;
142;sgemm;kernel.c:54-55;1.7;0.15;0.15;0.15;0.15;0;1;
144;sgemm;kernel.c:54-55;1.48;0.13;0.13;0.13;0.13;0;1;
107;sgemm;kernel.c:54-55;1.48;0.13;0.13;0.13;0.13;0;1;
147;sgemm;kernel.c:54-55;1.25;0.11;0.11;0.11;0.11;0;1;
130;sgemm;kernel.c:54-54;1.19;0.11;0.1;0.1;0.1;0;1;
103;sgemm;kernel.c:54-55;1.19;0.11;0.1;0.1;0.1;0;1;
115;sgemm;kernel.c:54-55;1.19;0.1;0.1;0.1;0.1;0;1;
113;sgemm;kernel.c:54-55;1.14;0.1;0.1;0.1;0.1;0;1;
141;sgemm;kernel.c:54-55;1.14;0.1;0.1;0.1;0.1;0;1;
140;sgemm;kernel.c:54-55;1.08;0.09;0.09;0.09;0.09;0;1;
145;sgemm;kernel.c:54-55;1.08;0.09;0.09;0.09;0.09;0;1;
111;sgemm;kernel.c:54-55;1.08;0.09;0.09;0.09;0.09;0;1;
105;sgemm;kernel.c:54-55;1.02;0.09;0.09;0.09;0.09;0;1;
109;sgemm;kernel.c:54-55;1.02;0.09;0.09;0.09;0.09;0;1;
146;sgemm;kernel.c:54-55;0.91;0.08;0.08;0.08;0.08;0;1;
98;sgemm;kernel.c:54-54;0.62;0.05;0.05;0.05;0.05;0;1;
132;sgemm;kernel.c:54-54;0.62;0.05;0.05;0.05;0.05;0;1;
99;sgemm;kernel.c:54-54;0.57;0.05;0.05;0.05;0.05;0;1;
133;sgemm;kernel.c:53-53;0.45;0.04;0.04;0.04;0.04;0;1;
96;sgemm;kernel.c:54-55;0.28;0.02;0.02;0.02;0.02;0;1;
33;sgemm;;0.23;0.02;0.02;0.02;0.02;0;1;
150;sgemm;kernel.c:53-53;0.11;0.01;0.01;0.01;0.01;0;1;
100;sgemm;kernel.c:54-54;0.11;0.01;0.01;0.01;0.01;0;1;
94;sgemm;kernel.c:58-58;0.06;0;0;0;0;0;1;
95;sgemm;kernel.c:53-55;0.06;0;0;0;0;0;1;
116;sgemm;kernel.c:54-54;0.06;0;0;0;0;0;1;
