block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;61.18;5.39;;;;;;
138;sgemm;kernel.c:54-55;3.41;0.3;;;;;;
134;sgemm;kernel.c:54-55;3.01;0.26;;;;;;
139;sgemm;kernel.c:54-55;2.89;0.25;;;;;;
135;sgemm;kernel.c:54-55;2.67;0.23;;;;;;
136;sgemm;kernel.c:54-55;2.21;0.19;;;;;;
137;sgemm;kernel.c:54-55;1.76;0.16;;;;;;
143;sgemm;kernel.c:54-55;1.7;0.15;;;;;;
142;sgemm;kernel.c:54-55;1.7;0.15;;;;;;
144;sgemm;kernel.c:54-55;1.48;0.13;;;;;;
107;sgemm;kernel.c:54-55;1.48;0.13;;;;;;
147;sgemm;kernel.c:54-55;1.25;0.11;;;;;;
130;sgemm;kernel.c:54-54;1.19;0.11;;;;;;
103;sgemm;kernel.c:54-55;1.19;0.11;;;;;;
115;sgemm;kernel.c:54-55;1.19;0.1;;;;;;
113;sgemm;kernel.c:54-55;1.14;0.1;;;;;;
141;sgemm;kernel.c:54-55;1.14;0.1;;;;;;
140;sgemm;kernel.c:54-55;1.08;0.09;;;;;;
145;sgemm;kernel.c:54-55;1.08;0.09;;;;;;
111;sgemm;kernel.c:54-55;1.08;0.09;;;;;;
105;sgemm;kernel.c:54-55;1.02;0.09;;;;;;
109;sgemm;kernel.c:54-55;1.02;0.09;;;;;;
146;sgemm;kernel.c:54-55;0.91;0.08;;;;;;
98;sgemm;kernel.c:54-54;0.62;0.05;;;;;;
132;sgemm;kernel.c:54-54;0.62;0.05;;;;;;
99;sgemm;kernel.c:54-54;0.57;0.05;;;;;;
133;sgemm;kernel.c:53-53;0.45;0.04;;;;;;
96;sgemm;kernel.c:54-55;0.28;0.02;;;;;;
33;sgemm;;0.23;0.02;;;;;;
150;sgemm;kernel.c:53-53;0.11;0.01;;;;;;
100;sgemm;kernel.c:54-54;0.11;0.01;;;;;;
94;sgemm;kernel.c:58-58;0.06;0;;;;;;
95;sgemm;kernel.c:53-55;0.06;0;;;;;;
116;sgemm;kernel.c:54-54;0.06;0;;;;;;
