block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
42;sgemm;kernel.c:54-55;97.67;18.2;18.2;18.2;18.2;0;1;
39;sgemm;kernel.c:54-55;0.94;0.17;0.17;0.17;0.17;0;1;
33;sgemm;kernel.c:54-54;0.24;0.04;0.04;0.04;0.04;0;1;
81;sgemm;driver_mesure.c:16-17;0.21;0.04;0.04;0.04;0.04;0;1;
38;sgemm;kernel.c:54-54;0.19;0.04;0.04;0.04;0.04;0;1;
43;sgemm;kernel.c:54-54;0.08;0.01;0.01;0.01;0.01;0;1;
31;sgemm;kernel.c:53-53;0.05;0.01;0.01;0.01;0.01;0;1;
34;sgemm;kernel.c:54-54;0.05;0.01;0.01;0.01;0.01;0;1;
29;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
35;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
