block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
46;sgemm;kernel.c:54-55;95.16;13.75;;;;;;
49;sgemm;kernel.c:54-55;2.97;0.43;;;;;;
33;sgemm;kernel.c:54-54;0.31;0.04;;;;;;
47;sgemm;kernel.c:54-54;0.28;0.04;;;;;;
43;sgemm;kernel.c:54-54;0.1;0.01;;;;;;
48;sgemm;kernel.c:54-54;0.1;0.01;;;;;;
87;sgemm;driver_mesure.c:16-17;0.1;0.01;;;;;;
38;sgemm;kernel.c:54-55;0.1;0.01;;;;;;
45;sgemm;kernel.c:54-54;0.07;0.01;;;;;;
35;sgemm;kernel.c:54-54;0.03;0;;;;;;
36;sgemm;kernel.c:54-54;0.03;0;;;;;;
37;sgemm;kernel.c:54-54;0.03;0;;;;;;
34;sgemm;kernel.c:54-54;0.03;0;;;;;;
