block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
48;sgemm;kernel.c:54-55;95.79;13.53;13.53;13.53;13.53;0;1;
51;sgemm;kernel.c:54-55;2.48;0.35;0.35;0.35;0.35;0;1;
35;sgemm;kernel.c:54-54;0.32;0.04;0.04;0.04;0.04;0;1;
89;sgemm;driver_mesure.c:16-17;0.25;0.04;0.03;0.03;0.03;0;1;
40;sgemm;kernel.c:54-55;0.25;0.04;0.03;0.03;0.03;0;1;
49;sgemm;kernel.c:54-54;0.11;0.01;0.01;0.01;0.01;0;1;
37;sgemm;kernel.c:54-54;0.07;0.01;0.01;0.01;0.01;0;1;
36;sgemm;kernel.c:54-54;0.07;0.01;0.01;0.01;0.01;0;1;
50;sgemm;kernel.c:54-54;0.07;0.01;0.01;0.01;0.01;0;1;
31;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
45;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
