block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
48;sgemm;kernel.c:54-55;95.79;13.53;;;;;;
51;sgemm;kernel.c:54-55;2.48;0.35;;;;;;
35;sgemm;kernel.c:54-54;0.32;0.04;;;;;;
89;sgemm;driver_mesure.c:16-17;0.25;0.04;;;;;;
40;sgemm;kernel.c:54-55;0.25;0.04;;;;;;
49;sgemm;kernel.c:54-54;0.11;0.01;;;;;;
37;sgemm;kernel.c:54-54;0.07;0.01;;;;;;
36;sgemm;kernel.c:54-54;0.07;0.01;;;;;;
50;sgemm;kernel.c:54-54;0.07;0.01;;;;;;
31;sgemm;kernel.c:54-54;0.04;0;;;;;;
45;sgemm;kernel.c:54-54;0.04;0;;;;;;
