Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;97.55;0;1877;1.76;0.64;0;0;0;0.94;0;0.05;
knl03;_ALL;_ALL;0;97.55;0;1877;1.76;0.64;0;0;0;0.94;0;0.05;
knl03;1146693;_ALL;0;97.55;0;1877;1.76;0.64;0;0;0;0.94;0;0.05;
knl03;1146693;1146956;0;96.81;0;188;2.66;0.53;0;0;0;0.94;0;0;
knl03;1146693;1146957;0;97.34;0;188;1.6;0.53;0;0;0;0.94;0;0.53;
knl03;1146693;1146958;0;97.34;0;188;2.13;0.53;0;0;0;0.94;0;0;
knl03;1146693;1146959;0;97.86;0;187;1.6;0.53;0;0;0;0.93;0;0;
knl03;1146693;1146952;0;97.87;0;188;1.6;0.53;0;0;0;0.94;0;0;
knl03;1146693;1146953;0;97.87;0;188;1.6;0.53;0;0;0;0.94;0;0;
knl03;1146693;1146951;0;97.87;0;188;1.6;0.53;0;0;0;0.94;0;0;
knl03;1146693;1146693;0;98.39;0;186;0.54;1.08;0;0;0;0.93;0;0;
knl03;1146693;1146954;0;96.81;0;188;2.13;1.06;0;0;0;0.94;0;0;
knl03;1146693;1146955;0;97.34;0;188;2.13;0.53;0;0;0;0.94;0;0;
